week_start,total_orders
2016-08-29,1
2016-09-05,1
2016-09-12,2
2016-09-26,1
2016-10-03,283
2016-10-10,39
2016-10-17,1
2016-12-19,1
2017-01-02,46
2017-01-09,80
2017-01-16,197
2017-01-23,354
2017-01-30,467
2017-02-06,548
2017-02-13,411
2017-02-20,379
2017-02-27,497
2017-03-06,582
2017-03-13,615
2017-03-20,654
2017-03-27,565
2017-04-03,586
2017-04-10,443
2017-04-17,571
2017-04-24,671
2017-05-01,788
2017-05-08,794
2017-05-15,940
2017-05-22,784
2017-05-29,836
2017-06-05,847
2017-06-12,753
2017-06-19,661
2017-06-26,730
2017-07-03,841
2017-07-10,959
2017-07-17,963
2017-07-24,927
2017-07-31,984
2017-08-07,939
2017-08-14,1044
2017-08-21,890
2017-08-28,1009
2017-09-04,904
2017-09-11,1164
2017-09-18,994
2017-09-25,964
2017-10-02,999
2017-10-09,1070
2017-10-16,1147
2017-10-23,978
2017-10-30,942
2017-11-06,1217
2017-11-13,1313
2017-11-20,3008
2017-11-27,2098
2017-12-04,1692
2017-12-11,1401
2017-12-18,978
2017-12-25,877
2018-01-01,1383
2018-01-08,1785
2018-01-15,1750
2018-01-22,1591
2018-01-29,1598
2018-02-05,1584
2018-02-12,1640
2018-02-19,1756
2018-02-26,1903
2018-03-05,1643
2018-03-12,1595
2018-03-19,1716
2018-03-26,1471
2018-04-02,1590
2018-04-09,1554
2018-04-16,1672
2018-04-23,1676
2018-04-30,1770
2018-05-07,1987
2018-05-14,1837
2018-05-21,954
2018-05-28,1083
2018-06-04,1438
2018-06-11,1514
2018-06-18,1457
2018-06-25,1401
2018-07-02,1196
2018-07-09,1001
2018-07-16,1678
2018-07-23,1646
2018-07-30,2058
2018-08-06,1988
2018-08-13,1875
2018-08-20,1071
2018-08-27,130
2018-09-03,7
2018-09-10,4
2018-09-17,2
2018-09-24,3
2018-10-01,2
2018-10-15,2
